final_kills,secondary_uniques,staff_pieces,total_drops,drop_rate,staff_drop_rate,kill_time_mins,total_log_hours,staff_gp,staff_gp_per_hour,quant
1245,12,3,15,83,415,2490,41.5,1000000000,24.096385542168672,3
3161,11,3,14,225.78571428571428,1053.6666666666667,6322,105.36666666666666,1000000000,9.490667510281558,5
830,4,3,7,118.57142857142857,276.6666666666667,1660,27.666666666666668,1000000000,36.14457831325301,2
1395,8,3,11,126.81818181818181,465,2790,46.5,1000000000,21.50537634408602,3
3032,18,3,21,144.38095238095238,1010.6666666666666,6064,101.06666666666666,1000000000,9.894459102902376,5
2581,15,3,18,143.38888888888889,860.3333333333334,5162,86.03333333333333,1000000000,11.62340178225494,4
1438,14,3,17,84.58823529411765,479.3333333333333,2876,47.93333333333333,1000000000,20.862308762169683,3
3506,17,3,20,175.3,1168.6666666666667,7012,116.86666666666666,1000000000,8.556759840273816,5
2006,10,3,13,154.30769230769232,668.6666666666666,4012,66.86666666666666,1000000000,14.955134596211368,4
2153,10,3,13,165.6153846153846,717.6666666666666,4306,71.76666666666667,1000000000,13.934045517882025,4
1030,8,3,11,93.63636363636364,343.3333333333333,2060,34.333333333333336,1000000000,29.126213592233007,3
1995,14,3,17,117.3529411764706,665,3990,66.5,1000000000,15.037593984962406,4
1239,7,4,11,112.63636363636364,309.75,2478,41.3,1333333333.3333333,32.28410008071025,3
2137,11,3,14,152.64285714285714,712.3333333333334,4274,71.23333333333333,1000000000,14.038371548900328,4
2161,7,3,10,216.1,720.3333333333334,4322,72.03333333333333,1000000000,13.882461823229987,4
1173,5,4,9,130.33333333333334,293.25,2346,39.1,1333333333.3333333,34.10059676044331,3
1211,4,8,12,100.91666666666667,151.375,2422,40.36666666666667,2666666666.6666665,66.06110652353426,3
994,5,3,8,124.25,331.3333333333333,1988,33.13333333333333,1000000000,30.18108651911469,3
2209,11,3,14,157.78571428571428,736.3333333333334,4418,73.63333333333334,1000000000,13.580805794477138,4
683,6,3,9,75.88888888888889,227.66666666666666,1366,22.766666666666666,1000000000,43.92386530014642,2
1263,7,3,10,126.3,421,2526,42.1,1000000000,23.75296912114014,3
3101,13,10,23,134.82608695652175,310.1,6202,103.36666666666666,3333333333.333333,32.24766204450177,5
1307,6,3,9,145.22222222222223,435.6666666666667,2614,43.56666666666667,1000000000,22.953328232593723,3
3249,23,3,26,124.96153846153847,1083,6498,108.3,1000000000,9.233610341643583,5
1342,5,6,11,122,223.66666666666666,2684,44.733333333333334,2000000000,44.70938897168406,3
3198,19,3,22,145.36363636363637,1066,6396,106.6,1000000000,9.380863039399626,5
2853,14,3,17,167.8235294117647,951,5706,95.1,1000000000,10.515247108307046,5
2649,13,3,16,165.5625,883,5298,88.3,1000000000,11.325028312570783,5
1086,7,4,11,98.72727272727273,271.5,2172,36.2,1333333333.3333333,36.83241252302025,3
1674,5,6,11,152.1818181818182,279,3348,55.8,2000000000,35.842293906810035,4
779,4,3,7,111.28571428571429,259.6666666666667,1558,25.966666666666665,1000000000,38.510911424903725,2
1037,4,4,8,129.625,259.25,2074,34.56666666666667,1333333333.3333333,38.57280617164898,3
2477,11,3,14,176.92857142857142,825.6666666666666,4954,82.56666666666666,1000000000,12.111425111021397,4
640,3,3,6,106.66666666666667,213.33333333333334,1280,21.333333333333332,1000000000,46.875,2
3270,11,3,14,233.57142857142858,1090,6540,109,1000000000,9.174311926605505,5
1388,12,3,15,92.53333333333333,462.6666666666667,2776,46.266666666666666,1000000000,21.613832853025936,3
1209,4,6,10,120.9,201.5,2418,40.3,2000000000,49.62779156327544,3
2472,9,4,13,190.15384615384616,618,4944,82.4,1333333333.3333333,16.181229773462782,4
1368,13,4,17,80.47058823529412,342,2736,45.6,1333333333.3333333,29.23976608187134,3
1594,5,4,9,177.11111111111111,398.5,3188,53.13333333333333,1333333333.3333333,25.09410288582183,4
1370,9,3,12,114.16666666666667,456.6666666666667,2740,45.666666666666664,1000000000,21.897810218978105,3
2861,13,6,19,150.57894736842104,476.8333333333333,5722,95.36666666666666,2000000000,20.971688220901783,5
2159,11,3,14,154.21428571428572,719.6666666666666,4318,71.96666666666667,1000000000,13.895321908290875,4
3344,14,8,22,152,418,6688,111.46666666666667,2666666666.6666665,23.923444976076553,5
1606,9,3,12,133.83333333333334,535.3333333333334,3212,53.53333333333333,1000000000,18.679950186799505,4
1937,9,3,12,161.41666666666666,645.6666666666666,3874,64.56666666666666,1000000000,15.487867836861126,4
1795,14,3,17,105.58823529411765,598.3333333333334,3590,59.833333333333336,1000000000,16.71309192200557,4
990,8,3,11,90,330,1980,33,1000000000,30.303030303030305,3
1342,5,3,8,167.75,447.3333333333333,2684,44.733333333333334,1000000000,22.35469448584203,3
1241,9,3,12,103.41666666666667,413.6666666666667,2482,41.36666666666667,1000000000,24.174053182917003,3
4205,21,3,24,175.20833333333334,1401.6666666666667,8410,140.16666666666666,1000000000,7.134363852556481,6
1364,7,4,11,124,341,2728,45.46666666666667,1333333333.3333333,29.325513196480937,3
1640,11,3,14,117.14285714285714,546.6666666666666,3280,54.666666666666664,1000000000,18.29268292682927,4
3598,12,7,19,189.3684210526316,514,7196,119.93333333333334,2333333333.333333,19.455252918287933,5
1675,13,5,18,93.05555555555556,335,3350,55.833333333333336,1666666666.6666665,29.850746268656714,4
2050,6,4,10,205,512.5,4100,68.33333333333333,1333333333.3333333,19.51219512195122,4
3986,13,5,18,221.44444444444446,797.2,7972,132.86666666666667,1666666666.6666665,12.543903662819869,6
2026,8,4,12,168.83333333333334,506.5,4052,67.53333333333333,1333333333.3333333,19.743336623889434,4
2075,18,3,21,98.80952380952381,691.6666666666666,4150,69.16666666666667,1000000000,14.457831325301203,4
4036,25,3,28,144.14285714285714,1345.3333333333333,8072,134.53333333333333,1000000000,7.433102081268583,6
1219,5,7,12,101.58333333333333,174.14285714285714,2438,40.63333333333333,2333333333.333333,57.42411812961443,3
