final_kills,secondary_uniques,staff_pieces,total_drops,drop_rate,staff_drop_rate,kill_time_mins,total_log_hours,staff_gp,staff_gp_per_hour
242,6,3,9,26.88888888888889,80.66666666666667,1210,20.166666666666668,3000000000,148.7603305785124
876,12,7,19,46.10526315789474,125.14285714285714,4380,73,7000000000,95.8904109589041
350,7,3,10,35,116.66666666666667,1750,29.166666666666668,3000000000,102.85714285714285
461,5,4,9,51.22222222222222,115.25,2305,38.416666666666664,4000000000,104.12147505422995
519,8,4,12,43.25,129.75,2595,43.25,4000000000,92.48554913294798
246,4,3,7,35.142857142857146,82,1230,20.5,3000000000,146.34146341463415
1005,16,6,22,45.68181818181818,167.5,5025,83.75,6000000000,71.64179104477613
531,10,3,13,40.84615384615385,177,2655,44.25,3000000000,67.79661016949153
680,9,4,13,52.30769230769231,170,3400,56.666666666666664,4000000000,70.58823529411764
558,12,5,17,32.8235294117647,111.6,2790,46.5,5000000000,107.52688172043011
995,12,4,16,62.1875,248.75,4975,82.91666666666667,4000000000,48.24120603015075
269,4,3,7,38.42857142857143,89.66666666666667,1345,22.416666666666668,3000000000,133.82899628252787
895,16,8,24,37.291666666666664,111.875,4475,74.58333333333333,8000000000,107.26256983240225
301,4,3,7,43,100.33333333333333,1505,25.083333333333332,3000000000,119.60132890365449
646,5,3,8,80.75,215.33333333333334,3230,53.833333333333336,3000000000,55.72755417956656
418,5,3,8,52.25,139.33333333333334,2090,34.833333333333336,3000000000,86.1244019138756
211,3,3,6,35.166666666666664,70.33333333333333,1055,17.583333333333332,3000000000,170.61611374407585
990,17,7,24,41.25,141.42857142857142,4950,82.5,7000000000,84.84848484848484
193,3,3,6,32.166666666666664,64.33333333333333,965,16.083333333333332,3000000000,186.52849740932643
983,10,5,15,65.53333333333333,196.6,4915,81.91666666666667,5000000000,61.03763987792472
1018,22,5,27,37.7037037037037,203.6,5090,84.83333333333333,5000000000,58.93909626719058
446,8,3,11,40.54545454545455,148.66666666666666,2230,37.166666666666664,3000000000,80.71748878923768
392,11,3,14,28,130.66666666666666,1960,32.666666666666664,3000000000,91.83673469387756
357,4,3,7,51,119,1785,29.75,3000000000,100.84033613445379
1045,8,4,12,87.08333333333333,261.25,5225,87.08333333333333,4000000000,45.93301435406699
866,16,5,21,41.23809523809524,173.2,4330,72.16666666666667,5000000000,69.284064665127
460,6,3,9,51.111111111111114,153.33333333333334,2300,38.333333333333336,3000000000,78.26086956521739
762,16,3,19,40.10526315789474,254,3810,63.5,3000000000,47.24409448818898
903,6,3,9,100.33333333333333,301,4515,75.25,3000000000,39.8671096345515
386,4,3,7,55.142857142857146,128.66666666666666,1930,32.166666666666664,3000000000,93.26424870466322
704,7,4,11,64,176,3520,58.666666666666664,4000000000,68.18181818181819
728,7,4,11,66.18181818181819,182,3640,60.666666666666664,4000000000,65.93406593406594
506,9,3,12,42.166666666666664,168.66666666666666,2530,42.166666666666664,3000000000,71.14624505928855
863,16,3,19,45.421052631578945,287.6666666666667,4315,71.91666666666667,3000000000,41.71494785631517
498,15,3,18,27.666666666666668,166,2490,41.5,3000000000,72.28915662650603
600,3,4,7,85.71428571428571,150,3000,50,4000000000,80
386,6,4,10,38.6,96.5,1930,32.166666666666664,4000000000,124.35233160621762
797,14,3,17,46.88235294117647,265.6666666666667,3985,66.41666666666667,3000000000,45.1693851944793
777,13,3,16,48.5625,259,3885,64.75,3000000000,46.33204633204633
629,7,6,13,48.38461538461539,104.83333333333333,3145,52.416666666666664,6000000000,114.46740858505565
581,10,5,15,38.733333333333334,116.2,2905,48.416666666666664,5000000000,103.27022375215148
667,5,3,8,83.375,222.33333333333334,3335,55.583333333333336,3000000000,53.973013493253376
1175,19,11,30,39.166666666666664,106.81818181818181,5875,97.91666666666667,11000000000,112.34042553191489
1435,21,12,33,43.484848484848484,119.58333333333333,7175,119.58333333333333,12000000000,100.34843205574913
642,5,6,11,58.36363636363637,107,3210,53.5,6000000000,112.14953271028037
203,5,4,9,22.555555555555557,50.75,1015,16.916666666666668,4000000000,236.45320197044333
547,5,4,9,60.77777777777778,136.75,2735,45.583333333333336,4000000000,87.75137111517367
431,8,3,11,39.18181818181818,143.66666666666666,2155,35.916666666666664,3000000000,83.52668213457078
516,9,8,17,30.352941176470587,64.5,2580,43,8000000000,186.04651162790697
361,6,3,9,40.111111111111114,120.33333333333333,1805,30.083333333333332,3000000000,99.7229916897507
302,4,3,7,43.142857142857146,100.66666666666667,1510,25.166666666666668,3000000000,119.20529801324503
345,8,5,13,26.53846153846154,69,1725,28.75,5000000000,173.91304347826087
585,9,3,12,48.75,195,2925,48.75,3000000000,61.53846153846153
407,7,5,12,33.916666666666664,81.4,2035,33.916666666666664,5000000000,147.42014742014743
618,3,4,7,88.28571428571429,154.5,3090,51.5,4000000000,77.66990291262137
765,13,3,16,47.8125,255,3825,63.75,3000000000,47.05882352941176
785,9,5,14,56.07142857142857,157,3925,65.41666666666667,5000000000,76.43312101910828
788,9,9,18,43.77777777777778,87.55555555555556,3940,65.66666666666667,9000000000,137.05583756345177
654,13,3,16,40.875,218,3270,54.5,3000000000,55.04587155963302
215,5,3,8,26.875,71.66666666666667,1075,17.916666666666668,3000000000,167.44186046511626
665,11,3,14,47.5,221.66666666666666,3325,55.416666666666664,3000000000,54.13533834586466
1414,13,9,22,64.27272727272727,157.11111111111111,7070,117.83333333333333,9000000000,76.37906647807638
412,3,3,6,68.66666666666667,137.33333333333334,2060,34.333333333333336,3000000000,87.37864077669902
593,10,4,14,42.357142857142854,148.25,2965,49.416666666666664,4000000000,80.94435075885329
541,10,6,16,33.8125,90.16666666666667,2705,45.083333333333336,6000000000,133.08687615526802
756,12,3,15,50.4,252,3780,63,3000000000,47.61904761904762
704,6,3,9,78.22222222222223,234.66666666666666,3520,58.666666666666664,3000000000,51.13636363636364
364,6,3,9,40.44444444444444,121.33333333333333,1820,30.333333333333332,3000000000,98.9010989010989
517,8,3,11,47,172.33333333333334,2585,43.083333333333336,3000000000,69.63249516441006
665,14,3,17,39.11764705882353,221.66666666666666,3325,55.416666666666664,3000000000,54.13533834586466
647,8,3,11,58.81818181818182,215.66666666666666,3235,53.916666666666664,3000000000,55.64142194744977
1217,21,3,24,50.708333333333336,405.6666666666667,6085,101.41666666666667,3000000000,29.580936729663105
526,11,3,14,37.57142857142857,175.33333333333334,2630,43.833333333333336,3000000000,68.44106463878326
561,5,3,8,70.125,187,2805,46.75,3000000000,64.171122994652407
710,12,3,15,47.333333333333336,236.66666666666666,3550,59.166666666666664,3000000000,50.70422535211268
473,9,3,12,39.416666666666664,157.66666666666666,2365,39.416666666666664,3000000000,76.10993657505286
515,8,3,11,46.81818181818182,171.66666666666666,2575,42.916666666666664,3000000000,69.90291262135923
313,5,3,8,39.125,104.33333333333333,1565,26.083333333333332,3000000000,115.01597444089457
476,3,3,6,79.33333333333333,158.66666666666666,2380,39.666666666666664,3000000000,75.63025210084035
598,13,3,16,37.375,199.33333333333334,2990,49.833333333333336,3000000000,60.20066889632107
955,16,3,19,50.26315789473684,318.3333333333333,4775,79.58333333333333,3000000000,37.696335078534034
257,8,3,11,23.363636363636363,85.66666666666667,1285,21.416666666666668,3000000000,140.07782101167317
